,,,,,,,
,이벤트,체크리스트,,,,,
,출산,출산이력 정보 입력,FALSE,개체마스터 자축 추가,FALSE,"개체마스터 모축 '방 번호', '그룹' 변경",FALSE
,처방,건강이력 정보 입력,FALSE,광역처방 정보 입력,FALSE,,
,폐사,개체마스터 '현재 상태' 변경,FALSE,,,,
,방 이동,"개체마스터 '방 번호', '그룹' 변경",FALSE,,,,
,종모 투입,교배이력 정보 입력,FALSE,개체마스터 '방 번호' 변경,FALSE,,
