File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.010256515990477055,0,4658,0,0,46,0.0,0.0,0.0,0.0,0.0
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.1829724689887371,0,4659,0,0,0,22.2,11.1,0.0,100.0,33.325
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.3001009699946735,0,4661,0,0,0,9.1,0.0,0.0,100.0,27.275
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.42168782197404653,0,4663,0,0,0,8.3,0.0,0.0,92.3,25.15
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.5413376429933123,0,4665,0,0,0,0.0,0.0,0.0,100.0,25.0
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.662265930994181,0,4665,0,290,120,28.6,25.0,8.3,63.6,31.375
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.7921653229859658,0,4665,0,270143,6751,7.7,26.7,13.3,0.0,11.925
EC_0179-5235-04-04-PSJ-F-04-A.wav,0.922025321982801,0,4665,0,0,0,7.7,7.7,0.0,0.0,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.0493691209994722,0,4665,0,0,0,8.3,0.0,0.0,0.0,2.075
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.1771403039747383,0,4665,0,0,0,7.7,0.0,0.0,7.7,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.3054092729871627,0,4665,0,0,0,0.0,0.0,15.4,0.0,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.43353208998451,0,4665,0,0,0,7.7,0.0,14.3,0.0,5.5
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.562425092997728,0,4665,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.68865491298493,0,4665,0,0,0,15.4,0.0,0.0,0.0,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.8176426719874144,0,4665,0,0,0,7.7,7.7,0.0,7.1,5.625
EC_0179-5235-04-04-PSJ-F-04-A.wav,1.9437530619907193,0,4665,0,2712,1900,8.3,38.5,0.0,0.0,11.7
EC_0179-5235-04-04-PSJ-F-04-A.wav,2.070046980981715,0,4665,0,0,52,15.4,0.0,0.0,0.0,3.85
EC_0179-5235-04-04-PSJ-F-04-A.wav,2.1993068839947227,0,4665,0,0,0,7.7,0.0,0.0,0.0,1.925
EC_0179-5235-04-04-PSJ-F-04-A.wav,2.328339285973925,0,4666,0,0,0,0.0,0.0,7.7,0.0,1.925
EC_0179-5235-04-04-PSJ-F-04-A.wav,2.4706282999832183,0,4666,0,132,3349,7.1,21.4,7.1,0.0,8.9
